,0
0,0.14153469
1,0.3979152
2,0.13390112
3,0.29446626
4,0.69865835
5,0.3100145
6,0.07460237
7,0.12101105
8,0.12639081
9,0.44446367
10,0.16899851
11,0.5143915
12,0.041182365
13,0.082218766
14,0.6416151
15,0.231935
16,0.04793958
17,0.21215357
18,0.34617484
19,0.087737836
20,0.07769348
21,0.2354266
22,0.13627729
23,0.05271126
24,0.5438395
25,0.2429216
26,0.46182257
27,0.11327129
28,0.06997403
29,0.17488891
30,0.23635432
31,0.11211783
32,0.13763914
33,0.19606753
34,0.24116568
35,0.029366467
36,0.103076346
37,0.059800763
38,0.22019891
39,0.14679153
40,0.15178597
41,0.2086924
42,0.08684047
43,0.11015627
44,0.524857
45,0.12597147
46,0.12952727
47,0.13692994
48,0.13177241
49,0.058202714
50,0.02611632
51,0.11267919
52,0.0679238
53,0.2541951
54,0.18423916
55,0.093612604
56,0.28512233
57,0.15006024
58,0.046623413
59,0.034081403
60,0.0931717
61,0.08599822
62,0.19848774
63,0.37916917
64,0.07386907
65,0.31469762
66,0.34454793
67,0.155959
68,0.043760188
69,0.10448406
70,0.1816184
71,0.05956286
72,0.09347204
73,0.45472434
74,0.1487915
75,0.06191022
76,0.16397701
77,0.103715084
78,0.1354946
79,0.1931655
80,0.08338975
81,0.40319884
82,0.10888424
83,0.051184766
84,0.26323554
85,0.2700362
86,0.024397109
87,0.19766745
88,0.17364925
89,0.108289525
90,0.06342151
91,0.24192852
92,0.51717013
93,0.11994145
94,0.23915046
95,0.1576931
96,0.049067065
97,0.05117819
98,0.1169112
99,0.2501892
100,0.24940537
101,0.11005698
102,0.107903376
103,0.27415055
104,0.2151759
105,0.16913272
106,0.52927476
107,0.10971744
108,0.087245084
109,0.089564405
110,0.47774965
111,0.039545696
112,0.09217295
113,0.1745647
114,0.3051811
115,0.13217026
116,0.43326408
117,0.093590796
118,0.15428232
119,0.29780862
120,0.051864926
121,0.13074419
122,0.17908277
123,0.18040608
124,0.12623873
125,0.12892894
126,0.42412367
127,0.04495682
128,0.09286405
129,0.38716432
130,0.07124244
131,0.19629206
132,0.14903007
133,0.10578237
134,0.051134538
135,0.512338
136,0.15115201
137,0.07492589
138,0.094061196
139,0.4350796
140,0.11645542
141,0.1296418
142,0.2185324
143,0.1488144
144,0.37773073
145,0.13761735
146,0.17152835
147,0.4765583
148,0.24742845
149,0.10385296
150,0.06801934
151,0.116891615
152,0.25422966
153,0.05187604
154,0.4056092
155,0.05299449
156,0.075324394
157,0.1527888
158,0.046427075
159,0.4023803
160,0.43184605
161,0.069727175
162,0.12481419
163,0.14946254
164,0.086157426
165,0.065466814
166,0.30118322
167,0.076974116
168,0.07617156
169,0.12665658
170,0.10559244
171,0.04278891
172,0.05175179
173,0.07092786
174,0.04260238
175,0.22588335
176,0.22150221
177,0.03290246
178,0.09395965
179,0.45219246
180,0.041290283
181,0.09485245
182,0.37903085
183,0.3391301
184,0.23233712
185,0.1445259
186,0.16816033
187,0.2355809
188,0.10085001
189,0.107778296
190,0.104448035
191,0.38618892
192,0.2187754
193,0.695038
194,0.36946413
195,0.05979004
196,0.105841674
197,0.241663
198,0.25497812
199,0.18289876
200,0.10276447
201,0.08328693
202,0.088869736
203,0.10120002
204,0.06969968
205,0.32505688
206,0.12824391
207,0.19381993
208,0.12422562
209,0.1804745
210,0.24648273
211,0.105050944
212,0.32959425
213,0.15823647
214,0.06647259
215,0.21745783
216,0.049562994
217,0.14732528
218,0.06637569
219,0.0826171
220,0.2107516
221,0.260987
222,0.06158261
223,0.15310508
224,0.13850363
225,0.07461189
226,0.13166378
227,0.106724866
228,0.098706014
229,0.071959764
230,0.07286478
231,0.15002008
232,0.14391886
233,0.03606921
234,0.091267765
235,0.07240732
236,0.5159923
237,0.08817132
238,0.20249121
239,0.1405413
240,0.14352173
241,0.13690126
242,0.14355586
243,0.2036398
244,0.12318134
245,0.094617
246,0.03710448
247,0.2565027
248,0.11713724
249,0.05710968
250,0.0692745
251,0.39268434
252,0.13338423
253,0.29926664
254,0.19184959
255,0.053150926
256,0.77317744
257,0.13832378
258,0.11819213
259,0.0452288
260,0.25143796
261,0.13542348
262,0.5309342
263,0.6842186
264,0.16383612
265,0.12449925
266,0.15512729
267,0.19618306
268,0.09988575
269,0.6161735
270,0.4257371
271,0.71299523
272,0.07825778
273,0.10838731
274,0.124657676
275,0.1161596
276,0.09192364
277,0.22378846
278,0.10787295
279,0.12442798
280,0.071381606
281,0.20027554
282,0.15173215
283,0.111614875
284,0.056529734
285,0.061921574
286,0.107546486
287,0.6343051
288,0.08408173
289,0.14696021
290,0.20972891
291,0.10288054
292,0.09773703
293,0.12395389
294,0.08710341
295,0.17880037
296,0.4642147
297,0.18128663
298,0.4285898
299,0.09253601
300,0.07908257
301,0.12021995
302,0.22646232
303,0.042707205
304,0.3251644
305,0.8340495
306,0.098206975
307,0.22795284
308,0.25848192
309,0.09147025
310,0.07926364
311,0.50448126
312,0.23939025
313,0.19203594
314,0.0541706
315,0.12084476
316,0.14642301
317,0.16923672
318,0.10532597
319,0.14954877
320,0.12621886
321,0.19303298
322,0.24422684
323,0.07719302
324,0.4958241
325,0.13683113
326,0.20333043
327,0.10170559
328,0.15907371
329,0.11310379
330,0.15286481
331,0.12820813
332,0.6772795
333,0.40438518
334,0.059194833
335,0.1308683
336,0.22784108
337,0.1497718
338,0.05376822
339,0.31983897
340,0.2938335
341,0.37721756
342,0.0392557
343,0.05429195
344,0.100782454
345,0.06764925
346,0.28072438
347,0.6105277
348,0.60313916
349,0.17918423
350,0.043389928
351,0.0919243
352,0.049441323
353,0.15085796
354,0.14971538
355,0.12056251
356,0.4977189
357,0.1117596
358,0.37299863
359,0.14215536
360,0.07955605
361,0.16053127
362,0.019540364
363,0.14533947
364,0.11502232
365,0.08334977
366,0.12917502
367,0.13498361
368,0.31654078
369,0.0386713
370,0.05541162
371,0.16880728
372,0.16812281
373,0.4180191
374,0.1255353
375,0.12908788
376,0.19237494
377,0.16956523
378,0.07933819
379,0.21223679
380,0.24326892
381,0.14465128
382,0.17735903
383,0.18058093
384,0.107145086
385,0.30948913
386,0.20215677
387,0.09592744
388,0.20057055
389,0.05344869
390,0.12808692
391,0.1715309
392,0.18771411
393,0.06619929
394,0.28052315
395,0.065256804
396,0.103041284
397,0.12646055
398,0.1581737
399,0.20579351
400,0.23480658
401,0.08739643
402,0.117390454
403,0.3587816
404,0.08358018
405,0.097961254
406,0.09539295
407,0.0404334
408,0.21823134
409,0.09191481
410,0.05938037
411,0.30055425
412,0.047608923
413,0.2923723
414,0.23705459
415,0.10014826
416,0.06022395
417,0.10194953
418,0.4501576
419,0.060837068
420,0.10195835
421,0.081835285
422,0.0860332
423,0.05796292
424,0.13755806
425,0.32484338
426,0.06056118
427,0.04909387
428,0.090661965
429,0.17796461
